Al_frac,Co_frac,Cr_frac,Hf_frac,Mo_frac,Nb_frac,Si_frac,Ta_frac,Ti_frac,V_frac,W_frac,Zr_frac,Density,Young_Modulus_ROM,Testing_Temp,Yield_Strength,Equilibrium_Conditions_encoded,Single_Multiphase_encoded,Type_Present_Phases_encoded,Tension_Compression_encoded
0.2727272727272727,0.0,0.0,0.0,0.18181818181818182,0.18181818181818182,0.0,0.0,0.18181818181818182,0.18181818181818182,0.0,0.0,6.1,142.4,25.0,500.0,1,1,6,0
0.2222222222222222,0.0,0.1111111111111111,0.0,0.0,0.2222222222222222,0.0,0.0,0.2222222222222222,0.2222222222222222,0.0,0.0,5.6,124.1,25.0,1300.0,0,1,6,0
0.2222222222222222,0.0,0.1111111111111111,0.0,0.0,0.2222222222222222,0.0,0.0,0.2222222222222222,0.2222222222222222,0.0,0.0,5.6,,600.0,1005.0,0,1,6,0
0.2222222222222222,0.0,0.1111111111111111,0.0,0.0,0.2222222222222222,0.0,0.0,0.2222222222222222,0.2222222222222222,0.0,0.0,5.6,,800.0,640.0,0,1,6,0
0.2222222222222222,0.0,0.1111111111111111,0.0,0.0,0.2222222222222222,0.0,0.0,0.2222222222222222,0.2222222222222222,0.0,0.0,5.6,,1000.0,40.0,0,1,6,0
0.18181818181818182,0.0,0.2727272727272727,0.0,0.0,0.18181818181818182,0.0,0.0,0.18181818181818182,0.18181818181818182,0.0,0.0,5.9,,25.0,1700.0,0,0,9,0
0.18181818181818182,0.0,0.2727272727272727,0.0,0.0,0.18181818181818182,0.0,0.0,0.18181818181818182,0.18181818181818182,0.0,0.0,5.9,,600.0,1370.0,0,0,9,0
0.18181818181818182,0.0,0.2727272727272727,0.0,0.0,0.18181818181818182,0.0,0.0,0.18181818181818182,0.18181818181818182,0.0,0.0,5.9,,800.0,970.0,0,0,9,0
0.18181818181818182,0.0,0.2727272727272727,0.0,0.0,0.18181818181818182,0.0,0.0,0.18181818181818182,0.18181818181818182,0.0,0.0,5.9,,1000.0,75.0,0,0,9,0
0.2,0.0,0.2,0.0,0.2,0.2,0.0,0.0,0.2,0.0,0.0,0.0,6.6,,25.0,1010.0,0,0,13,0
0.2,0.0,0.2,0.0,0.2,0.2,0.0,0.0,0.2,0.0,0.0,0.0,6.6,,400.0,1080.0,0,0,13,0
0.2,0.0,0.2,0.0,0.2,0.2,0.0,0.0,0.2,0.0,0.0,0.0,6.6,,600.0,1060.0,0,0,13,0
0.2,0.0,0.2,0.0,0.2,0.2,0.0,0.0,0.2,0.0,0.0,0.0,6.6,,800.0,875.0,0,1,6,0
0.2,0.0,0.2,0.0,0.2,0.2,0.0,0.0,0.2,0.0,0.0,0.0,6.6,,1000.0,594.0,0,0,13,0
0.2,0.0,0.2,0.0,0.2,0.2,0.0,0.0,0.2,0.0,0.0,0.0,6.6,,1200.0,150.0,0,1,6,0
0.25,0.0,0.25,0.0,0.25,0.0,0.0,0.0,0.25,0.0,0.0,0.0,6.0,,400.0,1070.0,0,1,6,0
0.25,0.0,0.25,0.0,0.25,0.0,0.0,0.0,0.25,0.0,0.0,0.0,6.0,,600.0,1020.0,0,1,6,0
0.25,0.0,0.25,0.0,0.25,0.0,0.0,0.0,0.25,0.0,0.0,0.0,6.0,,800.0,875.0,0,1,6,0
0.25,0.0,0.25,0.0,0.25,0.0,0.0,0.0,0.25,0.0,0.0,0.0,6.0,,1000.0,375.0,0,1,6,0
0.25,0.0,0.25,0.0,0.25,0.0,0.0,0.0,0.25,0.0,0.0,0.0,6.0,,1200.0,100.0,0,1,6,0
0.2,0.0,0.2,0.0,0.0,0.2,0.0,0.0,0.2,0.2,0.0,0.0,5.8,,25.0,1550.0,0,0,9,0
0.2,0.0,0.2,0.0,0.0,0.2,0.0,0.0,0.2,0.2,0.0,0.0,5.8,,600.0,1015.0,0,0,9,0
0.2,0.0,0.2,0.0,0.0,0.2,0.0,0.0,0.2,0.2,0.0,0.0,5.8,,800.0,860.0,0,0,9,0
0.2,0.0,0.2,0.0,0.0,0.2,0.0,0.0,0.2,0.2,0.0,0.0,5.8,,1000.0,65.0,0,0,9,0
0.16666666666666669,0.0,0.0,0.16666666666666669,0.0,0.16666666666666669,0.0,0.16666666666666669,0.16666666666666669,0.0,0.0,0.16666666666666669,8.9,,25.0,1489.0,1,0,0,0
0.2,0.0,0.0,0.0,0.1,0.2,0.0,0.1,0.2,0.0,0.0,0.2,7.1,,25.0,2197.0,4,0,7,0
0.2,0.0,0.0,0.0,0.1,0.2,0.0,0.1,0.2,0.0,0.0,0.2,7.1,,600.0,1870.0,4,0,7,0
0.2,0.0,0.0,0.0,0.1,0.2,0.0,0.1,0.2,0.0,0.0,0.2,7.1,,800.0,1597.0,4,0,7,0
0.2,0.0,0.0,0.0,0.1,0.2,0.0,0.1,0.2,0.0,0.0,0.2,7.1,,1000.0,745.0,4,0,7,0
0.2,0.0,0.0,0.0,0.1,0.2,0.0,0.1,0.2,0.0,0.0,0.2,7.1,,1200.0,250.0,4,0,7,0
0.2222222222222222,0.0,0.0,0.0,0.1111111111111111,0.2222222222222222,0.0,0.1111111111111111,0.2222222222222222,0.0,0.0,0.1111111111111111,7.2,,25.0,1320.0,4,1,3,0
0.2222222222222222,0.0,0.0,0.0,0.1111111111111111,0.2222222222222222,0.0,0.1111111111111111,0.2222222222222222,0.0,0.0,0.1111111111111111,7.2,,1000.0,935.0,4,1,3,0
0.25,0.0,0.0,0.0,0.25,0.25,0.0,0.0,0.25,0.0,0.0,0.0,6.5,,600.0,520.0,0,1,6,0
0.25,0.0,0.0,0.0,0.25,0.25,0.0,0.0,0.25,0.0,0.0,0.0,6.5,,800.0,500.0,0,1,6,0
0.25,0.0,0.0,0.0,0.25,0.25,0.0,0.0,0.25,0.0,0.0,0.0,6.5,,1000.0,540.0,0,1,6,0
0.25,0.0,0.0,0.0,0.25,0.25,0.0,0.0,0.25,0.0,0.0,0.0,6.5,,1200.0,200.0,0,1,6,0
0.2,0.0,0.0,0.0,0.2,0.2,0.0,0.0,0.2,0.2,0.0,0.0,6.4,149.6,25.0,1375.0,1,1,6,0
0.2,0.0,0.0,0.0,0.2,0.0,0.0,0.2,0.2,0.2,0.0,0.0,8.2,165.8,25.0,735.0,1,1,6,0
0.2,0.0,0.0,0.0,0.0,0.3,0.0,0.1,0.3,0.0,0.0,0.1,6.8,105.7,25.0,1280.0,4,1,6,0
0.2,0.0,0.0,0.0,0.0,0.3,0.0,0.1,0.3,0.0,0.0,0.1,6.8,,800.0,728.0,4,1,6,0
0.2,0.0,0.0,0.0,0.0,0.3,0.0,0.1,0.3,0.0,0.0,0.1,6.8,,1000.0,403.0,4,1,6,0
0.25,0.0,0.0,0.0,0.0,0.25,0.0,0.125,0.25,0.0,0.0,0.125,6.9,,25.0,1352.0,4,1,3,0
0.25,0.0,0.0,0.0,0.0,0.25,0.0,0.125,0.25,0.0,0.0,0.125,6.9,,1000.0,535.0,4,1,3,0
0.2,0.0,0.0,0.0,0.0,0.2,0.0,0.2,0.2,0.2,0.0,0.0,7.9,121.0,25.0,991.0,1,1,6,0
0.25,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.25,0.25,0.0,0.0,5.5,104.8,25.0,1020.0,0,1,6,0
0.25,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.25,0.25,0.0,0.0,5.5,,600.0,810.0,0,1,6,0
0.25,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.25,0.25,0.0,0.0,5.5,,800.0,685.0,0,1,6,0
0.25,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.25,0.25,0.0,0.0,5.5,,1000.0,158.0,0,1,6,0
0.2,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.2,0.2,0.0,0.2,5.8,,25.0,1500.0,0,0,5,0
0.2,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.2,0.2,0.0,0.2,5.8,,600.0,1155.0,0,0,5,0
0.2,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.2,0.2,0.0,0.2,5.8,,800.0,550.0,0,0,5,0
0.24390243902439024,0.0,0.0,0.0,0.0,0.24390243902439024,0.0,0.0,0.24390243902439024,0.24390243902439024,0.0,0.02439024390243903,5.5,,25.0,1290.0,0,0,4,0
0.24390243902439024,0.0,0.0,0.0,0.0,0.24390243902439024,0.0,0.0,0.24390243902439024,0.24390243902439024,0.0,0.02439024390243903,5.5,,600.0,975.0,0,0,4,0
0.24390243902439024,0.0,0.0,0.0,0.0,0.24390243902439024,0.0,0.0,0.24390243902439024,0.24390243902439024,0.0,0.02439024390243903,5.5,,800.0,865.0,0,0,4,0
0.23529411764705885,0.0,0.0,0.0,0.0,0.23529411764705885,0.0,0.0,0.23529411764705885,0.23529411764705885,0.0,0.05882352941176471,5.6,,25.0,1360.0,0,0,4,0
0.23529411764705885,0.0,0.0,0.0,0.0,0.23529411764705885,0.0,0.0,0.23529411764705885,0.23529411764705885,0.0,0.05882352941176471,5.6,,600.0,1065.0,0,0,4,0
0.23529411764705885,0.0,0.0,0.0,0.0,0.23529411764705885,0.0,0.0,0.23529411764705885,0.23529411764705885,0.0,0.05882352941176471,5.6,,800.0,855.0,0,0,4,0
0.2222222222222222,0.0,0.0,0.0,0.0,0.2222222222222222,0.0,0.0,0.2222222222222222,0.2222222222222222,0.0,0.1111111111111111,5.6,,25.0,1485.0,0,0,5,0
0.2222222222222222,0.0,0.0,0.0,0.0,0.2222222222222222,0.0,0.0,0.2222222222222222,0.2222222222222222,0.0,0.1111111111111111,5.6,,600.0,1135.0,0,0,5,0
0.2222222222222222,0.0,0.0,0.0,0.0,0.2222222222222222,0.0,0.0,0.2222222222222222,0.2222222222222222,0.0,0.1111111111111111,5.6,,800.0,675.0,0,0,5,0
0.18181818181818182,0.0,0.0,0.0,0.0,0.18181818181818182,0.0,0.0,0.18181818181818182,0.18181818181818182,0.0,0.2727272727272727,5.8,,25.0,1535.0,0,0,5,0
0.18181818181818182,0.0,0.0,0.0,0.0,0.18181818181818182,0.0,0.0,0.18181818181818182,0.18181818181818182,0.0,0.2727272727272727,5.8,,600.0,1195.0,0,0,5,0
0.18181818181818182,0.0,0.0,0.0,0.0,0.18181818181818182,0.0,0.0,0.18181818181818182,0.18181818181818182,0.0,0.2727272727272727,5.8,,800.0,180.0,0,0,5,0
0.0,0.02439024390243903,0.0,0.12195121951219512,0.12195121951219512,0.24390243902439024,0.0,0.0,0.24390243902439024,0.0,0.0,0.24390243902439024,7.8,,25.0,1183.0,1,0,12,0
0.0,0.06976744186046512,0.0,0.11627906976744187,0.11627906976744187,0.23255813953488375,0.0,0.0,0.23255813953488375,0.0,0.0,0.23255813953488375,7.7,,25.0,1201.0,1,0,12,0
0.0,0.25,0.25,0.0,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0,8.8,,25.0,1419.6,1,0,9,0
0.0,0.2,0.2,0.0,0.2,0.2,0.0,0.0,0.2,0.0,0.0,0.0,7.8,,25.0,1096.8,1,0,9,0
0.0,0.2380952380952381,0.2380952380952381,0.0,0.2380952380952381,0.2380952380952381,0.0,0.0,0.047619047619047616,0.0,0.0,0.0,8.5,,25.0,1905.6,1,0,9,0
0.0,0.22727272727272727,0.22727272727272727,0.0,0.22727272727272727,0.22727272727272727,0.0,0.0,0.0909090909090909,0.0,0.0,0.0,8.3,220.1,25.0,1771.3,1,1,6,0
0.0,0.2222222222222222,0.2222222222222222,0.0,0.2222222222222222,0.2222222222222222,0.0,0.0,0.1111111111111111,0.0,0.0,0.0,8.2,,25.0,1509.2,1,0,9,0
0.0,0.0,0.2,0.2,0.0,0.2,0.0,0.0,0.2,0.0,0.0,0.2,8.2,,25.0,1457.0,0,0,9,0
0.0,0.0,0.2,0.0,0.1,0.2,0.0,0.1,0.2,0.0,0.0,0.2,8.0,,25.0,1595.0,4,0,1,0
0.0,0.0,0.2,0.0,0.1,0.2,0.0,0.1,0.2,0.0,0.0,0.2,8.0,,800.0,983.0,4,0,1,0
0.0,0.0,0.2,0.0,0.1,0.2,0.0,0.1,0.2,0.0,0.0,0.2,8.0,,1000.0,546.0,4,0,1,0
0.0,0.0,0.2,0.0,0.1,0.2,0.0,0.1,0.2,0.0,0.0,0.2,8.0,,1200.0,170.0,4,0,1,0
0.0,0.0,0.2,0.0,0.0,0.2,0.0,0.0,0.2,0.2,0.0,0.2,6.6,,25.0,1298.0,4,0,9,0
0.0,0.0,0.2,0.0,0.0,0.2,0.0,0.0,0.2,0.2,0.0,0.2,6.6,,600.0,1230.0,4,0,9,0
0.0,0.0,0.2,0.0,0.0,0.2,0.0,0.0,0.2,0.2,0.0,0.2,6.6,,800.0,615.0,4,0,9,0
0.0,0.0,0.2,0.0,0.0,0.2,0.0,0.0,0.2,0.2,0.0,0.2,6.6,,1000.0,259.0,4,0,9,0
0.0,0.0,0.25,0.0,0.0,0.25,0.0,0.0,0.25,0.0,0.0,0.25,6.6,,25.0,1260.0,4,0,9,0
0.0,0.0,0.25,0.0,0.0,0.25,0.0,0.0,0.25,0.0,0.0,0.25,6.6,,600.0,1035.0,4,0,9,0
0.0,0.0,0.25,0.0,0.0,0.25,0.0,0.0,0.25,0.0,0.0,0.25,6.6,,800.0,300.0,4,0,9,0
0.0,0.0,0.25,0.0,0.0,0.25,0.0,0.0,0.25,0.0,0.0,0.25,6.6,,1000.0,115.0,4,0,9,0
0.0,0.0,0.23980815347721823,0.0,0.0,0.0,0.0,0.23980815347721823,0.0407673860911271,0.23980815347721823,0.23980815347721823,0.0,12.6,,25.0,2034.0,6,0,9,0
0.0,0.0,0.23980815347721823,0.0,0.0,0.0,0.0,0.23980815347721823,0.0407673860911271,0.23980815347721823,0.23980815347721823,0.0,12.6,,1200.0,750.0,6,0,9,0
0.0,0.0,0.23255813953488375,0.0,0.0,0.0,0.0,0.23255813953488375,0.06976744186046512,0.23255813953488375,0.23255813953488375,0.0,12.3,,25.0,2050.0,6,0,9,0
0.0,0.0,0.23255813953488375,0.0,0.0,0.0,0.0,0.23255813953488375,0.06976744186046512,0.23255813953488375,0.23255813953488375,0.0,12.3,,1200.0,586.0,6,0,9,0
0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.25,0.0,0.25,0.25,0.0,13.0,,25.0,2327.0,6,0,9,0
0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.25,0.0,0.25,0.25,0.0,13.0,,1200.0,979.0,6,0,9,0
0.0,0.0,0.0,0.07984031936127745,0.0,0.3073852295409182,0.0,0.3073852295409182,0.17764471057884232,0.0,0.0,0.1277445109780439,10.4,125.0,25.0,822.0,1,1,6,0
0.0,0.0,0.0,0.07984031936127745,0.0,0.3073852295409182,0.0,0.3073852295409182,0.17764471057884232,0.0,0.0,0.1277445109780439,10.4,,60.0,795.0,1,1,6,0
0.0,0.0,0.0,0.07984031936127745,0.0,0.3073852295409182,0.0,0.3073852295409182,0.17764471057884232,0.0,0.0,0.1277445109780439,10.4,,100.0,765.0,1,1,6,0
0.0,0.0,0.0,0.07984031936127745,0.0,0.3073852295409182,0.0,0.3073852295409182,0.17764471057884232,0.0,0.0,0.1277445109780439,10.4,,200.0,650.0,1,1,6,0
0.0,0.0,0.0,0.07984031936127745,0.0,0.3073852295409182,0.0,0.3073852295409182,0.17764471057884232,0.0,0.0,0.1277445109780439,10.4,,300.0,590.0,1,1,6,0
0.0,0.0,0.0,0.12195121951219512,0.12195121951219512,0.24390243902439024,0.02439024390243903,0.0,0.24390243902439024,0.0,0.0,0.24390243902439024,7.7,,25.0,1350.0,1,0,11,0
